timestamp,v0,v1,X,Y,Z,result
1,43637.24733,43640.11421,-10966.86988,-18742.04005,38055.04826,1
1,43637.27037,43640.14116,-10966.35133,-18738.81914,38056.90059,1
1,43637.29272,43640.16833,-10966.06918,-18734.96791,38058.96169,1
1,43637.31456,43640.19496,-10966.1183,-18730.31557,38061.28018,1
1,43637.33653,43640.22018,-10966.59796,-18725.08917,38063.71992,1
1,43637.35939,43640.24319,-10967.61444,-18719.85233,38065.98706,1
1,43637.38352,43640.26372,-10969.27923,-18715.31324,38067.72038,1
1,43637.40881,43640.2823,-10971.70187,-18712.07304,38068.61075,1
1,43637.43472,43640.3003,-10974.9817,-18710.39495,38068.5123,1
1,43637.46038,43640.31937,-10979.20027,-18710.07138,38067.50615,1
1,43637.48502,43640.34088,-10984.41417,-18710.44532,38065.89151,1
1,43637.50816,43640.36532,-10990.65001,-18710.5982,38064.0972,1
1,43637.52986,43640.392,-10997.89732,-18709.64774,38062.54174,1
1,43637.55096,43640.41939,-11006.105,-18707.05139,38061.492,1
1,43637.57278,43640.44581,-11015.17881,-18702.79762,38060.97565,1
1,43637.59673,43640.47016,-11024.98528,-18697.4057,38060.78037,1
1,43637.62371,43640.49234,-11035.35476,-18691.75588,38060.53269,1
1,43637.65362,43640.51299,-11046.08034,-18686.84057,38059.8136,1
1,43637.68529,43640.53309,-11056.90819,-18683.56145,38058.25642,1
1,43637.71704,43640.55348,-11067.53291,-18682.64102,38055.59085,1
1,43637.74744,43640.57459,-11077.60677,-18684.62487,38051.64444,1
1,43637.77594,43640.59648,-11086.78307,-18689.83933,38046.35903,1
1,43637.80292,43640.61926,-11094.78987,-18698.19873,38039.86983,1
1,43637.82915,43640.64322,-11101.50713,-18708.91768,38032.62354,1
1,43637.85502,43640.6688,-11107.01196,-18720.33236,38025.44371,1
1,43637.88018,43640.69635,-11111.5538,-18730.06078,38019.44552,1
1,43637.90379,43640.7259,-11115.45869,-18735.60916,38015.7541,1
1,43637.92535,43640.75677,-11118.99277,-18735.23975,38015.11538,1
1,43637.94547,43640.78777,-11122.24946,-18728.71102,38017.57415,1
1,43637.96603,43640.81745,-11125.10942,-18717.48719,38022.40057,1
1,43637.98938,43640.84453,-11127.29537,-18704.26735,38028.32377,1
1,43638.01714,43640.86873,-11128.48447,-18692.03818,38033.97406,1
1,43638.04923,43640.89096,-11128.42405,-18683.11307,38038.31795,1
