timestamp,v0,v1,X,Y,Z,result
1,43640.25714,43639.28956,-39231.02489,-19206.67174,3719.8582,normal
1,43640.31196,43639.35253,-39224.30967,-19226.9203,3685.215319,normal
1,43640.36432,43639.41559,-39217.76515,-19246.75687,3651.215289,normal
1,43640.41701,43639.47883,-39212.09821,-19263.67431,3623.328346,normal
1,43640.47253,43639.54185,-39207.73219,-19276.44053,3603.400735,normal
1,43640.53221,43639.60387,-39204.89375,-19284.77767,3590.499819,normal
1,43640.59583,43639.66415,-39203.64591,-19288.85221,3583.235516,normal
1,43640.66192,43639.72253,-39203.85025,-19288.92899,3581.879634,normal
1,43640.72859,43639.77965,-39205.1379,-19285.31277,3588.863172,normal
1,43640.79438,43639.8371,-39206.98337,-19278.4419,3607.414299,normal
1,43640.85901,43639.89683,-39208.8905,-19268.96092,3639.197392,normal
1,43640.92336,43639.96041,-39210.63228,-19257.6016,3682.478245,normal
1,43640.98901,43640.0284,-39212.40382,-19244.93725,3731.902675,normal
1,43641.05746,43640.10016,-39214.80503,-19231.16003,3779.955896,normal
1,43641.12923,43640.17393,-39218.63925,-19216.04615,3819.31057,normal
1,43641.20351,43640.24738,-39224.59973,-19199.17961,3844.947266,normal
1,43641.27826,43640.31824,-39233.00613,-19180.25937,3855.273004,normal
1,43641.35088,43640.38473,-39243.64443,-19159.44537,3851.901376,normal
1,43641.41911,43640.446,-39255.75642,-19137.56698,3838.624231,normal
1,43641.48189,43640.50237,-39268.20495,-19116.01675,3820.206629,normal
1,43641.53967,43640.55536,-39279.7378,-19096.42204,3801.328791,normal
1,43641.59425,43640.60744,-39289.26856,-19080.21034,3785.918611,normal
1,43641.64819,43640.66152,-39296.10278,-19068.22703,3776.801926,normal
1,43641.70398,43640.72007,-39300.02657,-19060.60661,3775.453688,normal
1,43641.76335,43640.78428,-39301.24405,-19056.94766,3781.778988,normal
1,43641.82685,43640.8538,-39300.21036,-19056.67306,3794.009772,normal
1,43641.89393,43640.92683,-39297.40521,-19059.43784,3808.971968,normal
1,43641.9633,43641.00078,-39293.1401,-19065.38058,3822.796704,normal
1,43642.03349,43641.07318,-39287.48465,-19075.07239,3831.933879,normal
1,43642.10327,43641.14239,-39280.35964,-19089.15243,3834.02908,normal
1,43642.17161,43641.20794,-39271.74843,-19107.81875,3828.289461,normal
1,43642.23767,43641.27033,-39261.92417,-19130.42855,3815.136054,normal
1,43642.30064,43641.33073,-39251.56743,-19155.41231,3795.394398,normal
1,43642.36005,43641.39045,-39241.64253,-19180.68873,3769.44677,normal
1,43642.41612,43641.45059,-39233.09888,-19204.30974,3737.137161,normal
1,43642.47009,43641.51178,-39226.54639,-19224.97331,3698.666517,normal
1,43642.52386,43641.5742,-39222.09722,-19242.10851,3655.932999,normal
1,43642.57944,43641.63754,-39219.48154,-19255.49612,3613.294742,normal
1,43642.63807,43641.70128,-39218.33725,-19264.77787,3576.941841,normal
1,43642.69982,43641.76491,-39218.46734,-19269.28601,3552.810543,normal
1,43642.76372,43641.82805,-39219.87089,-19268.47664,3543.750467,normal
1,43642.82861,43641.8906,-39222.52021,-19262.75791,3547.462705,normal
1,43642.89391,43641.95272,-39226.03797,-19254.16895,3556.518096,normal
1,43642.95991,43642.01471,-39229.55643,-19246.23637,3560.915742,normal
1,43643.02739,43642.07686,-39231.8971,-19242.90335,3552.144039,normal
1,43643.09689,43642.13928,-39232.00331,-19246.96906,3527.000992,normal
1,43643.16796,43642.20183,-39229.37393,-19258.84572,3489.486895,normal
1,43643.23906,43642.26405,-39224.26459,-19276.25409,3450.004154,normal
1,43643.30817,43642.32556,-39217.55342,-19294.99705,3422.304472,normal
1,43643.37363,43642.38648,-39210.3842,-19310.40301,3419.301243,normal
1,43643.43497,43642.44776,-39203.81201,-19318.74001,3449.184316,normal
1,43643.49336,43642.51098,-39198.63483,-19318.03385,3512.971262,normal
1,43643.55119,43642.57782,-39195.39078,-19308.23934,3603.949826,normal
1,43643.61117,43642.64914,-39194.43522,-19290.87801,3709.223262,normal
1,43643.6753,43642.72408,-39195.93509,-19268.5065,3812.956748,normal
1,43643.74393,43642.80021,-39199.79453,-19244.0975,3900.601443,normal
1,43643.81559,43642.87445,-39205.58869,-19220.38895,3962.870981,normal
1,43643.88762,43642.94434,-39212.60529,-19199.23971,3998.326218,normal
1,43643.95723,43643.00907,-39220.07155,-19181.05996,4013.514947,normal
1,43644.02252,43643.06988,-39227.44425,-19164.69811,4020.214425,normal
1,43644.08337,43643.12922,-39234.58536,-19148.01217,4030.643768,normal
1,43644.14128,43643.18964,-39241.69637,-19129.01015,4052.55567,normal
1,43644.19865,43643.25272,-39249.05805,-19107.01884,4086.326988,normal
1,43644.25775,43643.31842,-39256.72513,-19083.27383,4125.385613,normal
1,43644.31971,43643.3856,-39264.40099,-19060.46217,4159.83804,normal
1,43644.38419,43643.4527,-39271.5875,-19041.32321,4181.716931,normal
1,43644.44962,43643.51836,-39277.92148,-19027.04296,4189.183461,normal
1,43644.51404,43643.58215,-39283.4668,-19016.39412,4187.521124,normal
1,43644.57619,43643.64462,-39288.76808,-19006.1642,4186.408991,normal
1,43644.63611,43643.70685,-39294.56758,-18992.79414,4194.939483,normal
1,43644.69518,43643.7699,-39301.36577,-18974.32625,4216.92725,normal
1,43644.75551,43643.83425,-39309.09445,-18951.56244,4248.958929,normal
1,43644.81882,43643.89963,-39317.08601,-18927.8374,4281.974859,normal
1,43644.88558,43643.96519,-39324.38167,-18907.4937,4305.460556,normal
1,43644.95468,43644.02985,-39330.21945,-18893.85566,4311.995716,normal
1,43645.02374,43644.09302,-39334.43455,-18887.73939,4300.016974,normal
1,43645.09021,43644.15475,-39337.57029,-18887.19069,4273.663414,normal
1,43645.15253,43644.21548,-39340.63941,-18888.51285,4240.195166,normal
1,43645.21084,43644.27573,-39344.66312,-18887.97264,4206.617924,normal
1,43645.26688,43644.33564,-39350.20143,-18883.38174,4177.110884,normal
1,43645.32311,43644.39489,-39357.11193,-18874.83463,4152.164791,normal
1,43645.38169,43644.45304,-39364.60209,-18864.46586,4129.325314,normal
1,43645.44352,43644.51002,-39371.5577,-18855.39483,4104.89191,normal
1,43645.50811,43644.5664,-39376.98529,-18850.4131,4075.610412,normal
1,43645.57406,43644.62317,-39380.37484,-18850.97293,4039.744929,normal
1,43645.6399,43644.68129,-39381.8325,-18856.83848,3997.369047,normal
1,43645.7049,43644.74118,-39381.97091,-18866.3818,3950.11471,normal
1,43645.76935,43644.80247,-39381.6373,-18877.26367,3900.741396,normal
1,43645.83416,43644.86435,-39381.60787,-18887.18568,3852.657259,normal
1,43645.90018,43644.92616,-39382.3557,-18894.47284,3809.426675,normal
1,43645.96767,43644.98767,-39383.97666,-18898.31565,3774.267185,normal
1,43646.03609,43645.04919,-39386.2303,-18898.79073,3749.426505,normal
1,43646.10431,43645.1113,-39388.67214,-18896.67777,3735.678116,normal
1,43646.17124,43645.17443,-39390.81419,-18893.16927,3732.118753,normal
1,43646.23631,43645.23863,-39392.27182,-18889.53178,3736.367928,normal
1,43646.29968,43645.30363,-39392.87234,-18886.77316,3745.13911,normal
1,43646.36231,43645.36914,-39392.69093,-18885.41175,3755.024338,normal
1,43646.42543,43645.43498,-39392.01458,-18885.39408,3763.267407,normal
1,43646.49016,43645.50118,-39391.24734,-18886.1864,3768.280492,normal
1,43646.55701,43645.56786,-39390.79082,-18887.00521,3769.762474,normal
1,43646.62578,43645.63501,-39390.93769,-18887.0906,3768.474179,normal
1,43646.69558,43645.70229,-39391.82004,-18885.90285,3765.80514,normal
1,43646.76536,43645.7691,-39393.40327,-18883.23045,3763.265872,normal
1,43646.83424,43645.83496,-39395.51629,-18879.20909,3762.040179,normal
1,43646.90183,43645.89989,-39397.89939,-18874.26038,3762.761344,normal
1,43646.96827,43645.96455,-39400.26033,-18868.96164,3765.56678,normal
1,43647.03393,43646.03016,-39402.3191,-18863.91495,3770.309121,normal
1,43647.0992,43646.09791,-39403.8685,-18859.5773,3776.808776,normal
1,43647.16427,43646.16814,-39404.80879,-18856.16313,3784.986393,normal
1,43647.22925,43646.23985,-39405.1446,-18853.67026,3794.763725,normal
1,43647.29435,43646.31085,-39404.94997,-18851.99872,3805.827845,normal
1,43647.3599,43646.37877,-39404.31006,-18851.12234,3817.386343,normal
1,43647.42616,43646.44221,-39403.26916,-18851.20759,3828.14392,normal
1,43647.49308,43646.50152,-39401.81428,-18852.60923,3836.513712,normal
1,43647.5601,43646.5589,-39399.89644,-18855.7483,3840.992975,normal
1,43647.62626,43646.61739,-39397.47121,-18860.94574,3840.522778,normal
1,43647.69072,43646.67938,-39394.5365,-18868.29511,3834.689552,normal
1,43647.75328,43646.74543,-39391.14967,-18877.6335,3823.662368,normal
1,43647.81456,43646.81422,-39387.41725,-18888.60617,3807.988189,normal
1,43647.87576,43646.88329,-39383.47442,-18900.75976,3788.380692,normal
1,43647.93806,43646.95023,-39379.46798,-18913.6122,3765.611286,normal
1,43648.00196,43647.0138,-39375.54771,-18926.67847,3740.519126,normal
1,43648.06707,43647.07424,-39371.85984,-18939.48322,3714.02675,normal
1,43648.13233,43647.13283,-39368.53636,-18951.59508,3687.053017,normal
1,43648.19655,43647.19114,-39365.6797,-18962.68905,3660.29775,normal
1,43648.259,43647.25038,-39363.3515,-18972.59817,3634.046665,normal
1,43648.31974,43647.31087,-39361.57922,-18981.29907,3608.15254,normal
